uuid,name,lastname,firstname,group,portfolios,birth_date,birthplace,seat
d92fa41a-5be8-443f-9d94-8c26b582820a,Tess Burton,Burton,Tess,LSAP,"",1985-06-10,Luxembourg,37
3e6d82b4-b3ba-4468-86e2-df5a75b0fe51,Mars Di Bartolomeo,Di Bartolomeo,Mars,LSAP,"",1952-06-27,Dudelange,38
3323d906-3583-486d-a0a4-86d889c3073d,Yves Cruchten,Cruchten,Yves,LSAP,"",1975-05-01,Pétange,39
7ce84bf7-9052-4e5f-a46e-706af14037a0,Dan Biancalana,Biancalana,Dan,LSAP,"",,"",40
e3dddd18-b968-40de-852c-8a40d95b2d73,Francine Closener,Closener,Francine,LSAP,"",1969-12-29,Steinfort,41
eafed890-f5f4-46e8-a9e6-a958a4f7b370,Guy Arendt,Arendt,Guy,DP,"",,"",42
1a8ca350-39f4-4655-9899-fe86ac04c526,André Bauler,Bauler,André,DP,"",1964-02-05,Ettelbruck,43
352e6ffb-e8a3-493e-8211-f4a84df449b5,Simone Beissel,Beissel,Simone,DP,"",1953-04-27,Luxembourg,44
9a28aeb1-c183-4c11-b224-ad339ea06c05,Gilles Baum,Baum,Gilles,DP,"",1973-01-16,Luxembourg,45
f316fdc6-4c01-4057-8244-49877f9ae636,Max Hahn,Hahn,Max,DP,"",1981-04-30,Luxembourg,46
a7fe5e53-06d3-48ab-b7a1-e5b5d799796c,Lydie Polfer,Polfer,Lydie,DP,"",1952-11-22,Luxembourg,47
c6d475c6-0f56-4073-ae5f-2018a192a92d,Marc Hansen,Hansen,Marc,déi gréng,"",,"",49
79370fa2-8fb8-4eb8-8098-3d8e9d9163df,Semiray Ahmedova,Ahmedova,Semiray,déi gréng,"",1981-04-21,Sofia (BG),50
247de0a6-40ec-4564-8870-0b5b6a259dcc,Charles Margue,Margue,Charles,déi gréng,"",,"",51
fa2f364d-83f2-42f0-9020-cf9c0b79ca1d,Chantal Gary,Gary,Chantal,déi gréng,"",,Luxembourg-Ville,52
9721d66b-27ca-46d5-bc7e-fd240b9519c1,Jessie Thill,Thill,Jessie,déi gréng,"",,"",53
a2482d98-a1f6-493f-8251-d2bdecb3aac0,Carlo Weber,Weber,Carlo,LSAP,"",,"",54
86f77bc8-88a0-44a8-8f0b-83008559719c,Lydia Mutsch,Mutsch,Lydia,LSAP,"",,"",55
587cd5c1-fc06-401e-9c1a-8fb044c803aa,Dan Kersch,Kersch,Dan,LSAP,"",1961-12-27,"",56
22cf247a-c21b-44be-b58d-6ea451d6ba07,Simone Asselborn-Bintz,Asselborn-Bintz,Simone,LSAP,"",1966-01-24,Esch-sur-Alzette,57
1bb94086-ac57-4c2a-82f4-219c089c4797,Cécile Hemmen,Hemmen,Cécile,LSAP,"",1955-11-06,Luxembourg,58
76f975f7-2d89-46ea-95b0-31adfd08e030,Carole Hartmann,Hartmann,Carole,DP,"",,"",59
a9e1d1fa-1951-49ce-988e-29a40285458a,Claude Lamberty,Lamberty,Claude,DP,"",1976-09-24,Luxembourg,60
d498b4d4-f990-4297-b9af-33f51765fc63,Frank Colabianchi,Colabianchi,Frank,DP,"",1962-10-27,Luxembourg,61
d74b215c-27b6-443d-b3b9-7eac661eb0a3,Pim Knaff,Knaff,Pim,DP,"",1965-10-08,Esch-sur-Alzette,62
c5d9698d-2854-476e-953d-a5fc33449e85,Gusty Graas,Graas,Gusty,DP,"",1957-09-14,Bettembourg,63
d78e7e3d-5286-45e1-b362-1a796c5705d2,Georges Engel,Engel,Georges,LSAP,"Ministre des Sports Ministre du Travail, de l'Emploi et de l'Economie sociale et solidaire",,"",100
0398f091-8f7a-4cc9-911d-6cc1ef8338d5,Franz Fayot,Fayot,Franz,LSAP,Ministre de l'Économie Ministre de la Coopération et de l'Action humanitaire,,"",101
3e56958e-9e1f-4122-bea4-82f7df0af2de,Lex Delles,Delles,Lex,DP,Ministre des Classes moyennes Ministre du Tourisme,,"",102
3a50302e-edae-4986-94ea-7b80291cde8e,Sam Tanson,Tanson,Sam,déi gréng,Ministre de la Culture Ministre de la Justice,,"",103
41495b46-e8ab-4e54-b298-2ead309533af,Marc Hansen,Hansen,Marc,DP,Ministre de la Fonction publique Ministre aux Relations avec le Parlement Ministre délégué à la Digitalisation Ministre délégué à la Réforme administrative,,"",104
592c1730-7327-4bba-9b8f-ce25bb7835f8,Claude Turmes,Turmes,Claude,déi gréng,Ministre de l'Energie Ministre de l'Aménagement du Territoire,,"",105
412521db-ce32-43a2-a55a-9df7dc79190d,Taina Bofferding,Bofferding,Taina,LSAP,Ministre de l'Intérieur Ministre de l'Égalité entre les femmes et les hommes,,"",106
6099b828-93a6-462a-82fe-2cdcd3c15707,Henri Kox,Kox,Henri,déi gréng,Ministre du Logement Ministre de la Sécurité intérieure,,"",107
f3207c22-99de-4ac2-b7be-1b91b6424d8c,Yuriko Backes,Backes,Yuriko,DP,Ministre des Finances,,"",108
90136cf6-05ad-435d-a90a-354a66c06f69,Claude Haagen,Haagen,Claude,LSAP,"Ministre de l'Agriculture, de la Viticulture et du Développement rural Ministre de la Sécurité sociale",,"",109
2b721d2f-11ef-4d70-a6cc-ad17acb56f33,Claude Meisch,Meisch,Claude,DP,"Ministre de l'Education nationale, de l'Enfance et de la Jeunesse Ministre de l'Enseignement supérieur et de la Recherche",,"",111
470626e5-6ee0-4f5f-9816-366ed3cbd8e8,Paulette Lenert,Lenert,Paulette,LSAP,Ministre de la Protection des consommateurs Ministre de la Santé Ministre déléguée de la Sécurité sociale,,"",112
ab56272d-fa07-4997-8b64-f65d2cf96936,Xavier Bettel,Bettel,Xavier,DP,"Premier Ministre, Ministre d'Etat Ministre des Communications et des Médias Ministre des Cultes Ministre de la Digitalisation Ministre de la Réforme administrative",,"",113
9e539781-0a82-4c35-a834-3a7548c32368,François Bausch,Bausch,François,déi gréng,Ministre de la Défense Ministre de la Mobilité et des Travaux publics,,"",114
e9aa7630-c9a6-4d75-88bb-b6b027dd808c,Jean Asselborn,Asselborn,Jean,LSAP,Ministre de l'Immigration et de l'Asile Ministre des Affaires étrangères et européennes,,"",115
39e3e43e-dcba-4bda-b3be-a3f256322e10,Corinne Cahen,Cahen,Corinne,DP,Ministre de la Famille et de l'Intégration Ministre de la Grande Région,,"",116
